rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,0,0,0,0,9.48803557,2.78E-05,-2.78E-05,170.53875,2.16E-03,-2.16E-03,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,6.16E+02,1.95E+01,-1.95E+01,2.26,2.60E-01,-1.50E-01,793,93.59,29.45,-16.65,35.8,1,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0,0,0,0,54.4183827,2.48E-04,-2.48E-04,162.51384,3.52E-03,-3.52E-03,0.586,0.059,-0.443,4.507,0.116,-0.116,8.75E+02,3.55E+01,-3.55E+01,2.83,3.20E-01,-1.90E-01,443,9.11,2.87,-1.62,25.8,2,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
3,10811496,K00753.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.89913995,1.49E-05,-1.49E-05,175.850252,5.81E-04,-5.81E-04,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,1.08E+04,1.71E+02,-1.71E+02,14.6,3.92E+00,-1.31E+00,638,39.3,31.04,-10.49,76.3,1,5853,158,-176,4.544,0.044,-0.176,0.868,0.233,-0.078,297.00482,48.134129,15.436
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.736952453,2.63E-07,-2.63E-07,170.307565,1.15E-04,-1.15E-04,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8.08E+03,1.28E+01,-1.28E+01,33.46,8.50E+00,-2.83E+00,1395,891.96,668.95,-230.35,505.6,1,5805,157,-174,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,0,0,0,0,2.525591777,3.76E-06,-3.76E-06,171.59555,1.13E-03,-1.13E-03,0.701,0.235,-0.478,1.6545,0.042,-0.042,6.03E+02,1.69E+01,-1.69E+01,2.75,8.80E-01,-3.50E-01,1406,926.16,874.33,-314.24,40.9,1,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75488,48.2262,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,0,0,0,0,11.09432054,2.04E-05,-2.04E-05,171.20116,1.41E-03,-1.41E-03,0.538,0.03,-0.428,4.5945,0.061,-0.061,1.52E+03,2.42E+01,-2.42E+01,3.9,1.27E+00,-4.20E-01,835,114.81,112.85,-36.7,66.5,1,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,0,0,0,0,4.13443512,1.05E-05,-1.05E-05,172.97937,1.90E-03,-1.90E-03,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,6.86E+02,1.87E+01,-1.87E+01,2.77,9.00E-01,-3.00E-01,1160,427.65,420.33,-136.7,40.2,2,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0,0,0,0,2.56658897,1.78E-05,-1.78E-05,179.55437,4.61E-03,-4.61E-03,0.755,0.212,-0.523,2.429,0.165,-0.165,2.27E+02,1.68E+01,-1.68E+01,1.59,5.20E-01,-1.70E-01,1360,807.74,793.91,-258.2,15,3,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,7.36178958,2.13E-05,-2.13E-05,132.25053,2.53E-03,-2.53E-03,1.169,7.133,-0.044,5.022,0.136,-0.136,2.34E+02,5.80E+00,-5.80E+00,39.21,6.45E+00,-9.67E+00,1342,767.22,349.28,-365.49,47.7,1,6227,111,-124,3.986,0.182,-0.098,1.958,0.322,-0.483,298.86435,42.151569,12.66
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,0,0,0,0,16.06864674,1.09E-05,-1.09E-05,173.621937,5.17E-04,-5.17E-04,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4.91E+03,3.33E+01,-3.33E+01,5.76,2.20E-01,-4.90E-01,600,30.75,4.46,-6.66,161.9,1,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
